what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1496918549757
activated,perspective,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.Perspective",1496918556194
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.ThreadView",1496918619973
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.501.v201108231700,"org.eclipse.jst.j2ee.J2EEPerspective",1496918632614
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1496918632723
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1496918632817
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496918632833
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1496918632864
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1496918696629
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1496918696645
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1496918696661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918700608
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918980271
activated,perspective,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.Perspective",1496918980521
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.ThreadView",1496918980552
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.DeviceView",1496918983677
activated,view,com.android.ide.eclipse.ddms,23.0.0.1245622,"com.android.ide.eclipse.ddms.views.LogCatView",1496918986274
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1496918991859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918993597
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919012489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919033687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919038663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496919053135
